title,subtitle,content,date,tags
Стоит ли трансфор­мировать старый ИИС и еще 8 вопро­сов об ИИС⁠-⁠3,Отвечает частный инвестор и автор Учебника Т⁠⁠—⁠⁠Ж​ Михаил Болдов,"Тесто
собрал советы
Михаил Болдов
частный инвестор
ИИС-3 действует почти год, но еще не все инвесторы в нем разобрались.
Чтобы помочь, УчебникТ⁠—⁠Жвыпустилбесплатный курс «Зачем вамИИС-3и как с ним работать».Там сравниваются старые и новый типы ИИС, а еще есть советы, какие активы покупать наИИС-3и как оформить инвестиционный налоговый вычет.
Теперь мы пригласили в рубрику АМА Михаила Болдова — частного инвестора и автора этого курса.Он ответил на вопросы читателей, как работаетИИС-3для нерезидентов,можно ливыводить с него доход от купонов и дивидендов и что случится с заблокированными бумагами, если трансформировать старый счет вИИС-3. Собрали его ответы в одном материале.
Можно лиоткрытьИИС-3, если есть старый ИИС?
Максим
инвестировал через старый ИИС
У меня ИИС старого формата. Мне можно открыть еще три ИИС нового формата? Нет никаких запретов? Прошлый ИИС останется в прежнем формате, все нормально?
К сожалению, ограничения есть. Действительно, один инвестор может открыть до трехИИС-3, но только если у него нет старого ИИСтипа Аили Б, открытого до 1 января 2024 года.
Если владелец старого ИИС хочет открытьИИС-3, у него есть три варианта:
Как уведомить ФНС о трансформации ИИС?
Николай Дедов
беспокоится о налогах
В 2024 году я трансформировал ИИСтипа АвИИС-3. Срок владения старым ИИС — более трех лет. Какие данные нужно предоставить в налоговую?
С 9 декабря 2024 года вступил в силуприказ ФНС от31.10.2024№ЕД-7-11/983.В нем утвердили форму и порядок, как уведомить налоговую о трансформации ИИСтипов Аи B вИИС-3. Есть три способа:
Нужно заполнить заявление по форме.
Что учесть, когда заполняете заявление:
Срок приема заявок о трансформации ИИС в 2024 году продлили до конца января. Если подать заявление позже, налоговая будет считать, что вы трансформировали ИИС не в 2024, а в 2025 году.
Как считается срок владения трансформированным ИИС?
Spykeradik
сомневается насчет ИИС-3
У меня есть ИИС старого типа, открытый в 2020 году. Пока не хотел его закрывать, чтобы получать налоговые льготы.Есть лисмысл трансформировать старый ИИС вИИС-3? С какого момента будет отсчитываться срок владения новым ИИС?
Если вы в любом случае планируете трансформировать старый ИИС, есть смысл сделать это до конца года. Так быстрее наступит минимальный срок для получения льгот. Заявление о трансформации ИИС в 2024 году можно подать в налоговую до конца января 2025 года.
При трансформации в 2024 году вам зачтут три предыдущих года владения — с2021по 2023. То есть вы сможете закрыть трансформированный, не потеряв право на льготы, с 1 января 2026 года. К этому моменту пройдет пять лет владения счетом — с2021по 2026 год.
Как рассчитывается лимит вычета на взносы дляИИС-3?
Иван
уточнил про лимиты вычета
Я правильно понимаю, что единый лимит вычета по ИИС и ПДС касается толькоИИС-3, а по старым ИИС остался отдельный лимит?
Нет, лимит будет общий — не более 400 000 ₽ в год. Это касается в том числе ИИС, открытых до 1 января 2024 года.
Если вы закроете или трансформируете старый ИИС, сможете иметь до трехИИС-3. Но база для расчета вычета на взносы будет считаться со всех денег, которые вы внесете за год на все свои ИИС и ПДС —программу долгосрочных сбережений.Поэтому, даже если вы положите по 400 000 ₽ на каждый из трех своихИИС-3, то есть суммарно 1 200 000 ₽, налоговый вычет все равно рассчитают с максимального лимита — с 400 000 ₽.
Подробнее об инвестиционном вычете заИИС-3—в четвертом урокекурса «Зачем вамИИС-3и как с ним работать».
Что случится с заблокированными бумагами после трансформацииИИС-2вИИС-3?
Evgeny Kanashin
держит заблокированные активы
У меня есть старый ИИС, и на нем заблокированные активы гонконгской «Алибабы». Если я захочу трансформировать счет вИИС-3, что случится с этими бумагами?Можно лиих, например, перенести на обычный брокерский счет и спокойно трансформировать старый ИИС?
Деньги, ценные бумаги и другие активы нельзя вывести с ИИС, не закрывая его. Исключение — если возникнут тяжелые жизненные обстоятельства. Допустим, понадобится оплатить дорогостоящие виды леченияиз перечня, утвержденного правительством.К примеру, лечение онкозаболеваний, инсульта, почечной недостаточности, туберкулеза, диабета, острого инфаркта миокарда и других тяжелых состояний.
Любая другая попытка вывести ценные бумаги приведет к тому, что ваш ИИС автоматически закроется.
С 2024 года ввели запрет на покупку ценных бумаг иностранных эмитентов на ИИС. Но если они были куплены до того, как запрет вступил в силу, держать их не запрещено. Поэтому вы можете трансформировать старый ИИС вИИС-3со всеми активами, которые на нем есть, включая заблокированные ценные бумаги. После этого они будут учитываться на вашем трансформированном счете.
Ноя бы,когда подавал заявление о трансформации счета, предупредил компанию-посредника о том, что на счете есть такие бумаги. Дополнительная консультация и контроль точно не будут лишними.
Правда ли,что на доход по старому и новому ИИС будут разные налоговые базы?
Вася Пупкин
читает финансовые форумы
В последнее время на разных форумах всплывала информация о том, что при трансформации ИИС, возможно, будут формироваться две налоговые базы. Они будут для двух типов бумаг, купленных в разное время: до трансформации ИИСтипа АвИИС-3и после. И якобы вычет на доход, полученный при продаже первых, получить будет невозможно — придется уплатить с дохода налог13или 15%. Можете прокомментировать этот момент?
Проблема в том, что налоговые вычеты по старым и новому типам ИИС регулируют разные статьи законов. Поэтому, чтобы рассчитать налоговый вычет, брокер или УК не может сальдироватьдоходы по ним в рамках единого счета. Кажется, что этот момент просто не продумали, когда утверждали законы, и в будущем могут поправить. Но пока действительно могут формироваться две налоговые базы:
Но если доход по старым ИИС не зафиксирован, при фиксации наИИС-3по нему можно будет получить вычет.
Как считается период для вычета по доходу, зафиксированному на старом ИИС?
Engineer
держит ИИС старого типа
Допустим, у меня есть ИИС типа А, открытый в 2023 году. Если я конвертирую его вИИС-3в 2025 году и закрою через три года, за какой период я получу налоговую льготу — с момента конвертации в 2025 году или с момента открытия в 2023 году? С момента открытия я получал все купоны на счет без вычета НДФЛ.
Вопрос непростой, потому что у нас пока нет практики — только теория. Еще никто не получал вычеты поИИС-3. Плюс есть моменты, которые, на мой взгляд, требуют доработки. Учитывайте это, когда будете читать то, что я напишу дальше.
Сейчас при трансформации учитываются только незафиксированные доходы инвестора на ИИС старого типа. Если доход на нем был зафиксирован, нельзя будет получить по нему вычет в рамкахИИС-3.
Представим, что на ИИС старого типа купили акцию за 1000 ₽, а затем продали за 2000 ₽. При трансформации счета вИИС-3с этого дохода нельзя будет получить вычет — при закрытии счета придется заплатить налог по ставке13или 15%.
А теперь допустим, что на ИИС старого типа купили акцию за 1000 ₽, а затем до 2000 ₽ выросла ее рыночная цена. Но инвестор продолжал владеть бумагой, когда трансформировал ИИС. Если он продаст бумагу после трансформации и зафиксирует прибыль, при закрытии счета с этого дохода можно будет получить налоговый вычет.
На купонный доход это тоже распространяется. Если вы получили его в рамках старого ИИС, получить по нему налоговый вычет в рамкахИИС-3будет нельзя. Но новые купоны будут приходить наИИС-3уже без вычета налога, и в будущем на доход можно будет оформить вычет.
Пока все работает так. На мой взгляд, это баг, а не фича и вопрос нуждается в доработке. Считаю, что при трансформации ИИС логичнеебыло бысальдировать все доходы по операциям. Но пока имеем то, что имеем.
Надеюсь, в будущем этот вопрос решат в пользу инвесторов. А пока есть риск потерять часть налогового вычета при трансформации ИИС.
Можно либудет выводить доход от купонов и дивидендов сИИС-3?
Блинкомом
следит за законодательством
Какова вероятность, что Госдума примет поправки к закону, которые позволят выводить купоны и дивиденды сИИС-3?
Точно не знаю, но оцениваю шансы как высокие. Тема активно обсуждается, в том числе в СМИ, — значит, она на повестке. Например, ЦБ прямо пишет, что планирует рассмотреть опцию вывода дивидендов и купонов сИИС-3без потери права на льготы.
Думаю, это сильноповысило быпривлекательностьИИС-3для инвесторов. Особенно на фоне старых типов ИИС, где многие брокеры предоставляли такую возможность.
Но есть и те, кто против поправок. В мае Минфинне поддержал такую идею.Тогда заместитель министра финансов Иван Чебесков сказал, что вывод дивидендов и купонов снижает целеполагание, которое Минфин ставил, когда создавалИИС-3.
Так что следим за новостями. Пока дивиденды и купоны по ценным бумагам, купленным наИИС-3, можно зачислять только на сам счет.
Как работаетИИС-3для нерезидентов?
Дмитрий Ляхов
задал вопрос об ИИС для нерезидентов
Теряются лидоступные для ИИС-3 вычеты, если потерять налоговое резидентство РФ?Восстановятся лиони, если снова стать резидентом, иобнулится литогда минимальный срок жизниИИС-3для получения вычета?
Расскажу то, что знаю. Но чтобы углубленно изучить вопрос, рекомендую обратиться узкому специалисту по налогообложению инвестиций.
Вычеты можно получить только на доход, который облагается НДФЛ в России. Если инвестор потерял статусрезидента РФи платит налоги в другой стране по соответствующим ставкам, вычеты с дохода ему не полагаются.
Но чтобы иметь право на налоговые вычеты поИИС-3, не обязательно быть налоговымрезидентом РФвесь срок жизни счета. Потеря резидентства не обнуляет минимальный период, который дает право на льготы.
Чтобы получить вычет на взнос, нужно быть налоговым резидентом на 31 декабря того года, по итогам которого инвестор подает на вычет. И иметь соответствующий доход, облагаемый НДФЛ.
Чтобы получить вычет на доходы поИИС-3, нужно дождаться, когда пройдет минимальный срок жизни счета. А еще быть налоговымрезидентом РФна момент его закрытия и вывода денег, а также на 31 декабрятого жегода.",2024-12-13,инвестиции; ИИС
Какие финансовые события больше всего повлияли на вашу жизнь в 2024 году?,Без подзаголовка,"Кристина Болдова
подвела итоги
Недавно мы с друзьями обсудили, как изменилось наше финансовое состояние за этот год.
Благодаря высокой ключевой ставке мне удалось нарастить финансовую подушку безопасности. Но у моего знакомого с небольшим производством и бизнесом на маркетплейсе рост ставки ЦБ вызвал проблемы. Он был вынужден взять кредит под высокий процент, чтобы закупить новое оборудование.
Доходы в моем окружении выросли на10—20%почти у всех. Но несмотря на это, многие обеспокоены увеличением цен. Несколько моих друзей отметили, что в этом году стали тратить на продукты питания и бытовые нужды не 30%, а 40% своей зарплаты. При этом набор покупаемых продуктов сильно не изменился.
Главным разочарованием для друзей-инвесторов стал фондовый рынок, который продолжает падать. Например, мой портфель с начала года упал на 20%. Хотя у знакомых были и удачные вложения — так, один друг заработал на первичном размещении акций компании «Европлан». Бумаги достались ему по 875 ₽ за штуку. В апреле их удалось продать по 1030 ₽ за каждую.
Подруга с мужем успели взять семейную ипотеку в самый последний момент. А вот другой паре не повезло. Они спохватились только в конце года, когда у банков закончились лимиты, а ставки уже выросли.
Какие финансовые или инвестиционные события 2024 года были самыми яркими для вас?Что порадовало, а что разочаровало? Что сильнее всего повлияло на вашу жизнь?Вырос ливаш доход — и если да, то благодаря чему? Как на вас повлиял рост ключевой ставки?Приняли лиучастие в IPO? Если да,удалось лизаработать? Дивиденды каких компаний порадовали своей щедростью, а каких — разочаровали?Воспользовались ливы льготной ипотекой до ее отмены?Успели ливзять семейную ипотеку?",2024-12-13,инвестиции; бюджет
"«Даблби» проводит pre⁠-⁠IPO, но на самом деле компания предлагает инвести­ровать во франшизу","Разбираемся, на каких условиях и для чего руководство сети кофеен привлекает деньги инвесторов","Михаил Болдов
частный инвестор
В начале ноября российские деловые издания сообщили, что сеть кофеен «Даблби» проводитpre-IPOна инвестиционной платформе Zorko, на которой ранее состоялосьpre-IPO«Самолет-плюса» и Hyper.
Но инвесторам предлагают вложиться не в основные активы «Даблби» и действующие кофейни, а в новые заведения — и получать дивиденды, если те станут прибыльными.
«Пусть розничный инвестор положит небольшую денежку в общее акционерное общество, мы эти деньги превратим в работающие кофейни и будем всем этим управлять», —сказал собственник «Даблби» Сергей Дашковво время онлайн-трансляции для инвесторов. Он подчеркнул: компания не проводитpre-iPO,а предлагает поучаствовать в пассивной франшизе.
Рассказываем, что происходит.
Здесь есть каток, олени, новогоднее настроение, скидки на курсы и предсказания на следующий год
Чем занимается «Даблби»
«Даблби» — основанная в 2012 году сеть кофеен, которая позиционирует себя как спешелти, то есть там варят кофе из кофейных зерен высшей категории. К ноябрю 2024 она насчитывала 66 кофеен: почти все они находятся в Москве, кроме двух в Иркутске и одной в Махачкале. Но несколько лет назад их было больше: в 2018 годуvc.ruв материале о «Даблби» упоминали,что сеть насчитывает 85 кофеен.
Согласно информации с сайтаtopfranchise.ru, 12 заведений «Даблби» управляются самой компанией, а 54 — франчайзи.
«Даблби» предлагает две модели франшизы:активную и пассивную. В первом случае франчайзи вкладывается в открытие кофейни, сам ею управляет и платит роялти 6% от товарооборота. Если франчайзи планирует открыть компактную кофейню «Даблби», то ему надо вложить от2,5 млнрублей и заплатить паушальный взнос450 тысяч рублей. Для открытия полноценной кофейни потребуется от7,5 млнрублей и паушальный взнос 750 тысяч рублей.
Пассивная франшиза — это когда партнер инвестирует в новое заведение и получает процент с дохода, но управлением кофейни занимается «Даблби». В этом случае компания предлагает франчайзи 80% от операционной прибыли до возврата инвестиций и 70% — после. То есть «Даблби» будет оставлять себе сначала 20%, а потом 30% прибыли кофейни в качестве платы за ее управление.
В2018—2019 годахв «Даблби» разразился корпоративный конфликт, в результате которого основательница кофейни Анна Цфасман покинула компанию. Подробности этой историирассказал Forbes.
В какой бизнес инвесторам предлагают вложиться
В презентации для инвестороврассказывается о результатах деятельности всей компании, и может показаться, что инвесторам предлагают купить акции и получить долю во всем предприятии, но это не так.
Вместо этого «Даблби» предлагают стать совладельцем пассивной франшизы — то есть инвестировать в новые кофейни, управлением и открытием которых будет заниматься команда компании.
Для этого АО «Даблби-капитал», которое владеет основными активами «Даблби», в марте 2024 года учредило АО «Кофейня Даблби». В апреле под управление нового юрлица передали три кофейни, а в октябре добавили еще одну. Все они управляются по модели пассивной франшизы.
В сентябре совладельцем этого юрлица стал венчурный фонд Malina VC, который инвестировал в предприятие20 млнрублей.
При этом аудированных финансовых отчетностей ни всей компании, ни отдельно «Кофейни Даблби» в презентации нет. РБК, ссылаясь на данные, предоставленные компанией, пишет, что с марта по сентябрь 2024 года выручка «Кофейни Даблби» составила34 млнрублей, а чистая прибыль —0,6 млнрублей. Получается, что столько за семь месяцев заработали три кофейни «Даблби», это примерно 30 тысяч рублей чистой прибыли в месяц на заведение. Рентабельность составила скромные 1,85%.
В ходе внебиржевого размещения компания планирует привлечь312,5 млнрублей и за счет этих финансов открыть в конце 2024 и первой половине 2025 года несколько десятков новых кофеен:15—20«Даблби-классик»и35—45«Даблби-экспресс». Совладельцами этих заведений — в дополнение к тем четырем, что уже входят в АО «Кофейни Даблби», — и будут новые акционеры.
Расширять бизнес инвесторов не планируется. По словам Сергея Дашкова, объем привлекаемых финансов рассчитан таким образом, чтобы открыть определенное количество кофеен, совокупная годовая выручка которых не будет превышать2 млрдрублей. Если этот лимит превысят,то придется платить НДСи это «убьет бизнес-модель», отметил он.
При этом часть привлеченных от инвесторов денег достанется «Даблби-капиталу», как управляющей компании. Она, в частности, будет заниматься открытием кофеен, готовить управляющих и бариста.Представитель компании уверяет, что хоть деятельность акционерного общества и влечет расходы, денег инвесторов оно «особо не получит». При этом «Даблби-капитал» также будет оставлять себе 20% от операционной прибыли каждой кофейни, но не меньше 20 000 ₽.
Параметры размещения
Повторим: «Даблби» не проводитpre-IPO,то есть инвесторы не смогут стать совладельцами уже существующей компании, но смогут вложиться в новый бизнес.«Какие-тожурналисты напечатали, что „Даблби“ делаетpre-IPO.„Даблби“ не делаетpre-IPO— „Даблби“ делает понятныйраунд А,он жеи последний», —объяснил Дашков.
Инвесторам предлагают обыкновенные акции АО «Кофейни Даблби» по цене 3750 ₽. Чтобы стать совладельцем этой компании, необходимо приобрести минимум 20 акций, то есть минимальная сумма для вхождения в капитал предприятия — 75 000 ₽. Всего выпущено 83 333 новых акции в дополнение к 16 677 акциям, которые распределены между текущими владельцами «Кофейни Даблби».
Стоимость акций складывается из общей оценки «Кофейни Даблби» в62,5 млнрублей. В эту сумму руководство компании оценило четыре кофейни и нематериальные активы, а еще прибавило деньги фондаMalina VC.
Ожидается, что во втором квартале 2025 года акции новой компании разместят на Мосбирже в секторе торгов бумагами непубличных компаний.
Перед размещением структура владения «Кофейни Даблби», по данным самой компании, выглядела следующим образом:
Представители компании заявили, что после размещения «Кофейни Даблби» основной акционер «Даблби-капитал» оставит себе лишь 8% акций кофейни, а остальные 83,3% распределят в ходе размещения среди новых инвесторов. У оставшихся держателей будет 8,7% акций.
Получается, что у бизнеса будет огромный free float и не будет одного мажоритария. Совет директоров новой компании будет состоять из семи человек, из которых четверо — представители «Даблби». То есть компания сохранит сильную зависимость от подконтрольных «Даблби-капиталу» фирм, которые фактически будут заниматься управлением сетью: ее генеральным директором назначили Сергея Борисова, также занимающего должность операционного директора всего «Даблби».
Какую доходность обещают инвесторам
Потенциальная доходность основана на расчетах компании, и нет гарантии, что она будет соответствовать реальному положению дел. Так, руководство «Даблби» ожидает, что совокупная доходность вложений с учетом дивидендных выплат и стоимости компаний к 2029 году составит 35%.
На дивиденды акционерам пойдет 95% прибыли компании, и уже по итогам 2025 года руководство рассчитывает выплатить дивиденды в размере 382 ₽ на акцию. В последующие годы ожидается кратный рост дивидендных выплат — до 3566 ₽ на акцию.
Но в презентации говорится, что 2024 год будет убыточным, а собственник «Даблби» хоть и планирует, что первые дивиденды будут в четвертом квартале 2025, допускает перенос этих выплат на первый квартал 2026.
Рассчитанная «Даблби» финансовая модель подразумевает также рост стоимости акций АО «Кофейня Даблби»: при желании инвесторы смогут продать их, но только после того, как они станут доступны на площадке для внебиржевых торгов.
Следует помнить, что доходность этих инвестиций будет сознательно ограничена: руководство не планирует увеличивать выручку предприятия выше определенного значения, чтобы не платить НДС.
Где проходит размещение
Продажа акций проходитна платформе Zorko, которая специализируется наpre-IPO.В 2023 году на ней уже размещались оператор электродвиженияHyper, а в 2024 — сервис поиска и продажи недвижимости«Самолет-плюс».
Квалифицированные инвесторы могут также приобрести акции АО «Кофейня Даблби»на платформе «Финам».
Что в итоге
Важно понимать, что если в случае IPO илиpre-IPOинвесторам предлагают стать акционером уже работающего бизнеса, то в этом случае — вложиться в предприятие с нуля. Конечно, у «Даблби» богатая компетенция в области создания и управления кофейнями, ноиз-занепредвиденных обстоятельств планы могут не сбыться. Подобных рисков меньше, если компания уже работает и приносит прибыль.
Кажется, что высокий риск на ранней стадии инвестиций в бизнес — это нормально. Ведь если у компании все получится, прибыль инвестора может вырасти кратно. Но если мы говорим о «Кофейне Даблби», то рост ее выручки ограничен2 млрдв год.
Кроме того, есть ряд моментов, на которые инвестору стоит обратить внимание, прежде чем принимать решение об участии в этом размещении:
Новости, которые касаются инвесторов, — в нашем телеграм-канале. Подписывайтесь, чтобы быть в курсе происходящего:@investnique",2024-12-13,инвестиции; pre-IPO; франшиза; акции
Акции компаний с «недружественной» пропиской смогут купить только квалифицированные инвесторы,Новое правило может затронуть депозитарные расписки Ozon и «Циана»,"Михаил Болдов
частный инвестор
На Мосбирже появится новое ограничение: с 1 января 2025 купить ценные бумаги компаний, которыетак ине переехали из иностранной юрисдикции в российскую, смогут только квалифицированные инвесторы.
Об этом РБК рассказал представитель торговой площадки.Речь идет в том числе о компаниях, чья основная деятельность и активы находятся в России, но головной офис зарегистрированв «недружественном» государстве.
Кого это коснется и чем грозит — рассмотрим в обзоре.
Быстрые и нескучные уроки о том, как вкладывать с умом
Почему Мосбиржа вводит ограничение
Оно необходимо,чтобы выполнить указание Банка России, которое запрещает с 1 января 2025 года покупать неквалифицированным инвесторам ценные бумаги компаний, зарегистрированных за рубежом. Исключение сделано только для ценных бумаг эмитентов из стран, входящих в Евразийский экономический союз, то есть Армении, Беларуси, Казахстана и Киргизии.
Это ограничение в Банке России объясняют необходимостью защиты неквалифицированных инвесторов от возможных «недружественных» действий иностранных государств. Мысль о том, что для защиты частного инвестора нужно прилагать больше сил,высказывали зампред ЦБВладимир Чистюхин в недавнем интервью.Апрезидент РФво время выступленияна форуме «Россия зовет» заявил, что эффективная защита прав инвесторов позволит повысить спрос на ценные бумаги.
Кого коснутся ограничения
Под ударом может оказаться бизнес, который не успеет провести редомициляцию в российскую юрисдикцию и обменять своим держателям расписки иностранного эмитента на акции российской компании.
В зоне риска как минимум четыре эмитента.
Маркетплейс Ozon.27 декабря акционеры компаниирассмотрят перерегистрацию компании с Кипра в Россию, в специальный административный район на острове Октябрьский Калининградской области. А вся процедура переездадолжна быть завершена до конца 2025 года.
Девелопер «Эталон».Акционерыутвердили редомициляцию с Кипра в Россиюеще в декабре 2023 года, а завершить переездпланировали в четвертом квартале 2024 года.Но пока этого не случилось.
Онлайн-платформа объявлений о продаже и аренде недвижимости «Циан».В сентябре 2024 года компания объявила, что завершила основной этап редомициляции в России, но не уточнила, когда планирует закончить этот процесс.
Ретейлер «Окей».Компания зарегистрирована в Люксембурге и пока не заявляла о планах и сроках переезда в Россию.
Согласноположению ЦБ«О допуске ценных бумаг к организованным торгам», облигации, акции и депозитарные расписки, которые запрещены к покупке неквалифицированным инвесторам, не могут находиться в первом и втором эшелоне. Поэтому торговая площадка с нового года переведет такие ценные бумаги в третий эшелон, где объемы торгов заметно ниже.
При этом неквалифицированные инвесторыпо-прежнемусмогут продавать такие ценные бумаги, если они уже есть у них в портфеле, — запрет распространяется только на покупку.
Это может негативно сказаться на котировках: на фоне выхода новости неквалифицированные инвесторы могут начать избавляться от этих ценных бумаг. Скорее всего, запрет на покупку неквалами и перевод в третий эшелон сильно скажутся на торговом обороте таких бумаг на Мосбирже.
Новости, которые касаются инвесторов, — в нашем телеграм-канале. Подписывайтесь, чтобы быть в курсе происходящего:@investnique",2024-12-12,актуальное; Циан; новости для инвесторов; Ozon; Мосбиржа; экономика; Окей
