,title,date,link,content
0,"Обзор
20 декабря 2024
Обзор российского IT-рынка: IVA Technologies
Разбираем бизнес компании и даем наш прогноз по акциям",2024-12-20,https://www.tbank.ru/invest/social/profile/T-Investments/1efb272d-dd05-49e7-9a91-2b2748df52ef,"T-InvestmentsT-Investments20 декабря 2024 в 15:31Обзор российского IT-рынка: IVA TechnologiesМы продолжаем серию обзоров по четырем компаниям из IT-сектора.

Мы выпустили обзор по компании Астра, где открыли рекомендацию «покупать» с целевой ценой 610 рублей за акцию.
Также вышел обзор по компании Аренадата, с рекомендацией «покупать» и целевой ценой 210 рублей за акцию.
Вчера мы разбирали компанию Диасофт, с рекомендацией «держать» и целевой ценой 4 190 рублей за акцию.
Сегодня рассмотрим компанию IVA Technologies.

IVA Technologies: выдержит ли компания конкуренцию


IVA Technologies — один из ведущих российских разработчиков ПО для корпоративных коммуникаций. Компания предлагает корпоративным клиентам 14 полноценных решений для связи. Основные продукты компании позволяют заменить ПО от иностранных игроков: Cisco, Webex, Avaya и других.




По прогнозам J’son & Partners Consulting, к 2028 году объем рынка корпоративных коммуникаций удвоится и достигнет уровня 150 млрд рублей, что эквивалентно среднегодовому темпу роста 33%. Это объясняется ускоряющейся цифровизацией и ростом популярности удаленного и гибридного форматов работы. Еще одним драйвером на рынке корпоративных коммуникаций стал переход на отечественные решения из-за ухода ряда крупных иностранных игроков и риска отключения продуктов западных производителей. 
Доля IVA Technologies на рынке корпоративных коммуникаций в России составляет около 7%. Компания является лидером в сегменте ВКС (видео-конференц-связи) с долей 24% по итогам 2023 года. В долгосрочной перспективе компания также планирует получить существенную долю вне рынка ВКС: 9—10% на рынке корпоративной телефонии, 5—6% на рынке корпоративного общения (мессенджеры) и до 10—12% на рынке почтовых решений.

 

Основными конкурентными преимуществами компании являются

Экосистемность. Продукты IVA Technologies можно применять самостоятельно в зависимости от потребностей покупателя. Однако после использования иностранного ПО клиенты заинтересованы в экосистемных решениях, интегрированных между собой и позволяющих сделать клиентский опыт наиболее простым и целостным.
Безопасность. Продукты компании разработаны без использования открытого исходного кода. Это отличает IVA Technologies от основных конкурентов. Она использует собственное техническое решение IVA Media Processor, которое применяется в большинстве продуктов экосистемы и обеспечивает безопасность и конфиденциальность данных клиентов.



Сейчас основная часть клиентов IVA Technologies — это компании из сегментов B2G+ (44%), B2G (24%) и B2B (28%). Компания обладает существенным потенциалом для расширения использования своих решений у имеющихся клиентов, а также планирует увеличить базу B2B-заказчиков. В долгосрочной перспективе IVA Technologies может выпустить ПО и для сегмента B2C. К 2028 году компания ставит амбициозную цель увеличить количество клиентов с текущих 562 заказчиков до 30 тысяч.
IVA Technologies уже сейчас работает не только на российском рынке, но и в нескольких зарубежных странах, а также планирует дальнейшую международную экспансию. В долгосрочной перспективе доля выручки, полученной за рубежом, может составить до 20% от общей выручки IVA Technologies.
Что с финансами 
Выручка
Выручка компании по большей части формируется от продажи ПО и лицензий на его использование. За девять месяцев 2024 года IVA Technologies заработала благодаря этому около 80% от всей выручки. Компания также продает услуги технического обслуживания (18% от всей выручки за 9 месяцев 2024 года) и такие аппаратные решения, как видеотерминалы и IP-телефоны (2% от всей выручки).
Основную долю в выручке от продаж ПО и лицензий занимают продажи IVA MCU — корпоративной платформы для проведения видеоконференций. На IVA MCU приходится 72% от общей выручки компании за три квартала 2024 года. В долгосрочной перспективе компания предполагает, что на долю ее продуктов, не связанных с видеоконференциями, может приходиться до половины от общей выручки.

В целом за девять месяцев 2024 года выручка компании выросла на 52%, до 1,4 млрд рублей. Мы прогнозируем, что в 2024 году выручка IVA Technologies составит 4 млрд рублей, показав рост на 61%, а среднегодовой темп роста за 2024—2027 годы может составить 43%.



Операционные расходы
По оценке аналитиков Т-Инвестиций, рентабельность по валовой прибыли составит в 2024 году 79%, а в среднесрочной перспективе достигнет 74—75%. Такая динамика обусловлена ростом материальных затрат, преимущественно за счет производства телефонов. Еще один фактор, влияющий на рентабельность валовой прибыли, — расходы на персонал (около 70% от всех затрат компании). 
В части операционных затрат, помимо расходов на персонал, компания также планирует увеличить маркетинговые расходы для продвижения своих продуктов и повышения узнаваемости бренда. В 2024 году маркетинговые расходы могут составить около 6%, в дальнейшем возможно небольшое увеличение этого показателя.
EBITDA и чистая прибыль
Из-за фактора сезонности большая часть выручки компании приходится на четвертый квартал, а расходы равномерно распределены по всем четырем кварталам, поэтому на рентабельность лучше смотреть по результатам за год. 
Совокупная историческая рентабельность компании по EBITDA за последние три года составляет 77—80%. Мы прогнозируем рентабельность по EBITDA на уровне ~67% в 2024-м с дальнейшим снижением до 62% в среднесрочной перспективе. Долгосрочный целевой уровень рентабельности по EBITDA — 62%.

Мы полагаем, что из-за большой доли капитализируемых затрат стоит обратить внимание и на показатель EBITDAC (EBITDA, скорректированная на капитализируемые расходы). По нашим оценкам, долгосрочный целевой уровень рентабельности по скорректированной EBITDA находится на уровне 40—50%. По нашим оценкам, EBITDAC составит 1,8 млрд рублей, что эквивалентно рентабельности в 45%. 
Чистая прибыль демонстрирует внушительный рост год к году, а также высокую конверсию из EBITDA. Мы ожидаем, что чистая прибыль составит 2,3 млрд рублей в 2024 году, что эквивалентно рентабельности в 58%.
Мы полагаем, что из-за большой доли капитализируемых затрат стоит обратить внимание и на показатель NIC (чистая прибыль, скорректированная на капитализируемые расходы). По нашим оценкам, NIC составит 1,7 млрд рублей в 2024 году, что эквивалентно рентабельности в 43%.


Капитальные затраты

IVA Technologies капитализирует до 100% всех расходов на исследования и разработки. Основная часть капитальных затрат — это расходы на разработку ПО (более 95% затрат). Компания также инвестирует в закупку оборудования для разработчиков.
В 2023 году капитальные затраты составили около 26% от выручки. В долгосрочной перспективе IVA Technologies планирует снизить ежегодные расходы на фоне высокой степени зрелости продуктов. Мы прогнозируем стабилизацию капитальных затрат на уровне 18% от выручки.


Долговая нагрузка
Компания не нуждается в долговом финансировании, что отражается в чистой денежной позиции в последние годы: чистый долг (без аренды)/EBITDA на конец июня 2024 года равен 0,2x. В среднесрочной перспективе компания не планирует использовать долговое финансирование.
Дивиденды
Дивидендная политика компании предполагает выплату дивидендов не реже одного раза в год. Компания выплатила 89% от скорректированной чистой прибыли по итогам 2022 года.
В последующие годы IVA Technologies планирует направлять на дивиденды не менее 25% от скорректированной чистой прибыли при долговой нагрузке на уровне ниже 2,0x показателя чистый долг/EBITDA. В иных ситуациях размер потенциальных дивидендов будет рассматриваться советом директоров.


Справедливая оценка 
Для определения справедливой стоимости акционерного капитала IVA Technologies мы использовали метод дисконтирования денежных потоков на горизонте ближайших десяти лет. Наша оценка базируется на средневзвешенной стоимости капитала (WACC) на уровне 27,5% и терминальном темпе роста 5%.

По нашей оценке, справедливая цена за бумагу IVAT на горизонте 12 месяцев составляет 240 рублей за акцию. Потенциал роста бумаг на горизонте года — 20%. В настоящий момент бумаги компании торгуются по мультипликаторам 7,2x EV/EBITDAС и 8,7x P/NIC в 2025 году. Мультипликаторы находятся ниже среднего значения по отрасли, но есть риск, что IVA Technologies может не выполнить обещаний по росту и это скажется на справедливой стоимости компании.



Ну и что?

В целом рынок корпоративных коммуникаций в России крайне фрагментирован. Свои решения предлагают как специализированные игроки (например, IVA Technologies и TrueConf), так и лидирующие российские IT-компании (МТС, Сбер, Яндекс), у которых есть хорошая база собственных пользователей. Дополнительное давление создают иностранные решения, которые все еще активно используются на российском рынке.
Поскольку в среднесрочной перспективе мы ожидаем консолидации рынка, до этого момента мы крайне осторожно смотрим на таких игроков, как IVA Technologies. Полагаем, что компания продолжит наращивать клиентскую базу, так как все большее количество B2G-заказчиков будут законодательно вынуждены выбирать защищенные локальные средства коммуникации. В этом сегменте IVA Technologies является неоспоримым лидером, однако рост с 562 до 30 тысяч клиентов кажется нам слишком амбициозным даже с учетом международной экспансии.
IVA Technologies показывает впечатляющую рентабельность по EBITDAC, но мы ожидаем, что на фоне роста расходов на персонал и маркетинг она стабилизируется на уровне, близком к среднему для разработчиков ПО в России.
С учетом всего вышеперечисленного и несмотря на то, что наша целевая цена предусматривает потенциал роста на уровне 20% к текущей цене, мы начинаем аналитическое покрытие компании с рейтингом «держать».


Итог всех обзоров
Каждая рассмотренная в обзоре компания занимает свое уникальную позицию на российском IT-рынке. Как мы подчеркивали ранее, все компании являются выгодополучателями от ухода с российского рынка иностранных решений. Однако, еще год назад, прогнозировалось, что к текущему моменту большая часть иностранных решений уже будет заменена продуктами локальных вендеров, сейчас становится все более очевидно, что процесс импортозамещения занимает намного больше времени. Это связано с большим объемом инвестиций и временем требующихся для перехода. 
В первую очередь на решения российских компаний сейчас переходят предприятия B2G и B2G+ сегментов, что связано с регуляторными требованиями. Мы полагаем, что в дальнейшем, по мере реализации сетевого эффекта, B2B компании также начнут более активный переход на решения российских ИТ компаний. 
В настоящий момент дополнительную сложность добавляет и жесткая денежно-кредитная политика ЦБ. В период высоких ставок многие клиенты предпочитают перераспределить бюджеты и отложить финансирование обновления внутренних ИТ процессов. Это уже было отражено в результатах за 3 квартал таких компаний как Positive Technologies и Диасофт. Мы ожидаем, что давление на бюджеты заказчиков может продолжится и в 2025 году, что приведет к замедлению темпов роста выручки, рассматриваемых компании. 
Несмотря на неблагоприятную макроэкономическую среду, мы полагаем, что сам процесс импортозамещения остается все также актуальным в среднесрочной перспективе. А компании сектора продолжать модифицировать и обновлять имеющиеся решения, добавлять новые продукты, что сделает их еще более конкурентоспособными решениям иностранных игроков. 

Нашим фаворитом в секторе является компания Аренадата

Компания занимает лидирующие позиции на рынке СУБД, а ее решения являются одной из немногих альтернатив продуктам ушедших компаний. 
Решения Аренадаты, помимо государственных структур, уже активно используется корпоративными заказчиками, а уровень технологической поддержки компании является важнейшим конкурентным преимуществом. 
Мы полагаем, что компания продолжит наращивать пул клиентов, количество продуктов на одного заказчика, а также расширять линейку услуг, что должно обеспечить сильный рост выручки в среднесрочной перспективе. Компания показывает высокую рентабельность по OIBDAC, а также довольно сильную динамику свободного денежного потока. Это должно обеспечить способность компании стабильно платить дивиденды.

Нам нравится также компания Астра

Компания, помимо своего основного бизнеса, также выходит в смежные сегменты. А учитывая, что доля продуктов экосистемы занимает все более заметную часть выручки компании, мы полагаем, что стратегия диверсификации работает. 
В начале года компания установила для себя цель показать трехкратный рост выручки к 2025 году, и, судя по результатам за 9M24 года, цель кажется нам достижимой. 

Диасофт
Решения Диасофт стали активно применяться на российском рынке еще до 2022 года, а продукты компании занимали лидирующие места в мировых рейтингах IT-услуг. Мы полагаем, что в основном для компании сегменте, ПО для финсектора, Диасофт уже достиг устойчивого положения и темпы роста будет постепенно замедляться.
Компания делает попытки выйти в смежные сегменты, однако, пока неясно, сможет ли Диасофт завоевать значимую позицию на этих рынка. Компания также показывает хорошую динамику денежного потока, что позволяет выплачивать неплохие дивиденды.
Бизнес компании мы рассматриваем как более зрелый, а с учетом недавних результатов, полагаем, что компания может отклониться от своих целей по году, что будет негативно воспринято рынком.
IVA Technologies
На наш взгляд, инвестиционный кейс IVA Technologies вызывает больше всего неопределенностей.
Рынок корпоративных коммуникаций в России отличается довольно высоким уровнем конкуренции, одновременно с этим иностранные решения все также активно используются до сих пор. Ключевым сегментом для роста здесь являются B2B компании, однако многие из них предпочитают облачные решения и не нуждаются в таком сильно-защищенном решении, которое предоставляет IVA Technologies.
Компания планирует значимо нарастить клиентскую базу, что должно обеспечить рост выручки. Однако, отклонение от планов, может привести к значимому изменению справедливой цены. Несмотря на высокую рентабельность и довольно низкие мультипликаторы, мы с осторожностью подходим к данному инвестиционному кейсу.  


РИСКИ 
Мы уже обозначали риски для каждой компании в рамках обзоров. Но все же должны предупредить потенциального инвестора о общих рисках, которые в целом могут оказать влияние на стоимость каждой компании из технологического сектора. Ниже приведены основные из них. 
Ухудшение макроэкономических условий
В случае резкого падения темпов роста российской экономики компании могут начать сокращать инвестиции в различные ИТ-решения, включая ПО, инструменты по работе с данными и средства корпоративных коммуникаций. При этом отметим, что сокращение бюджетов крупных корпоративных клиентов и госорганизаций будет происходить в последнюю очередь.
Возвращение иностранных игроков
Ранее иностранные компании доминировали на рынке ПО и ИТ услуг, поэтому их потенциальное возвращение создает угрозу для локальных вендеров. Однако тут стоит учесть, что законодательные инициативы касательно использования иностранного ПО и IT-услуг, и требования к безопасности данных ужесточаются. Поэтому ряд госкомпаний и корпоративных предприятий сегмента в любом случае не сможет вернуться к иностранным решениям. Также напомним, что для перехода на новое ПО требуются значительные инвестиции и время, поэтому заново перестраивать всю IT-инфраструктуру и возвращаться к иностранным решениям может быть неэффективно. 
Замедление перехода на локальное ПО 
По оценкам, российские решения займут более 90% всего рынка к 2030 году. Однако планы клиентов по замене импортных решений российскими могут быть смещены на более поздние сроки за счет поддержки иностранного ПО силами собственных IT-специалистов или же использования нелицензионных продуктов. Все это может повлиять на темпы роста выручки компании.
Ужесточение конкуренции
Несмотря на уход западных игроков, российский рынок ПО и IT-услуг остается достаточно конкурентным. Рынок довольно фрагментирован между игроками, поэтому дальнейшее развитие и своевременный запуск новых продуктов имеют решающее значение для поддержания конкурентоспособности. Большинство специализированных ИТ компаний также конкурируют с решениями таких игроков, как Яндекс, Ростелеком, VK, МТС, у которых есть возможности для финансирования и модифицирования собственных решений, а главное — возможности для внутреннего использования. Добавим, что некоторые компании до сих пор используют решения иностранных вендоров.
Активная международная экспансия
Емкость российского рынка может быть весьма ограничена и когда локальные провайдеры IT-услуг восполняют неудовлетворенный спрос, возникший из-за ухода иностранных игроков, и нарастят клиентскую базу до таргетированного уровня, дальнейший рост будет обеспечиваться преимущественно за счет сервисной выручки и рекуррентных продаж продуктов. Однако, уже сейчас российские ИТ-компании начинают предлагать свои услуги и решения на рынках стран ближнего зарубежья и стран MENA (Ближний Восток, Северная Африка, Турция), где уровень конкуренции весьма умеренный. Успешная международная экспансия может поддержать темпы роста российских компаний в долгосрочной перспективе. 
Нехватка квалифицированных IT-специалистов
Это один из вызовов для всего российского IT-рынка. Трудности с привлечением квалифицированных специалистов могут помешать дальнейшему развитию отечественного рынка ПО и IT-услуг или увеличить давление на рентабельность разработчиков ввиду роста расходов на персонал.
Слабый спрос
Компании, рассмотренные в обзоре, делают большую ставку на B2B-сегмент (крупные корпорации) и МСБ-сегмент (малый и средний бизнес), которые предоставляют большой потенциал для дальнейшего развития и внедрения решений компаний. Однако недостаточный спрос со стороны данных сегментов может негативно сказаться на темпах роста ПО провайдеров в дальнейшем.
Ослабление господдержки
Текущая нормативно-правовая среда довольно благоприятна для российских IT-компаний. Если господдержка сократится в ближайшие пару лет, то это может негативно сказаться на финансах всех представителей сектора.
Ценные бумаги и другие финансовые инструменты, упомянутые в данном обзоре, приведены исключительно в информационных целях; обзор не является инвестиционной идеей, советом, рекомендацией, предложением купить или продать ценные бумаги и другие финансовые инструменты. Уведомляем Вас о том, что при приобретении и владении иностранными ценными бумагами вы можете столкнуться с рисками депозитарной инфраструктуры, связанными с геополитической ситуацией.
Весь текст дисклеймера
201,8 ₽−0,17%1739Не является индивидуальной инвестиционной рекомендациейT-InvestmentsРассказываем об инвестициях простым языком 

Официальный канал сообщества — @Pulse_OfficialПодписатьсяЧитайте также9 декабря 2024Дефолты на рынке облигаций: насколько высоки риски и что выбрать инвестору6 декабря 2024Чем запомнилась неделя: восстановление рубля и отскок рынка акций9 комментариевВаш комментарий...p.alexandr.invest20 декабря 2024 в 15:46👍Нравитсяsvetik88rus20 декабря 2024 в 16:24👍НравитсяAsAkk20 декабря 2024 в 16:35«Шортисты» есть кто в живых или ключ вас порвал?Нравится2Cruassan20 декабря 2024 в 17:54Вышел вчера из этой бумаги. Не пожалел.НравитсяUsov199120 декабря 2024 в 19:37🧐НравитсяПоказать ещеАвторы стратегийИх сделки копируют тысячи инвесторовSkilfulCapital+20,9%3K подписчиковMikhail_MNGA+7,4%1,4K подписчиковbroqoo+7,9%3,9K подписчиковДефолты на рынке облигаций: насколько высоки риски и что выбрать инвесторуОбзор|9 декабря 2024 в 19:35Читать полностью"
1,"Обзор
19 декабря 2024
Обзор российского IT-рынка: Диасофт
Начинаем аналитическое покрытие компании с рейтингом «держать»",2024-12-19,https://www.tbank.ru/invest/social/profile/T-Investments/e6fc36da-49af-480b-990a-6d0ed9cd5fc4,"T-InvestmentsT-Investments19 декабря 2024 в 12:10Аналитический обзорОбзор российского IT-рынка: ДиасофтМы продолжаем серию обзоров по четырем компаниям из IT-сектора.

На днях мы выпустили обзор по компании Астра, где открыли рекомендацию «покупать» с целевой ценой 610 рублей за акцию.
Вчера вышел наш обзор по компании Аренадата, также с рекомендацией «покупать» и целевой ценой 210 рублей за акцию.
Сегодня разберем подробнее третью компанию из сектора — Диасофт.

Диасофт — бенефициар импортозамещения, но расходы на персонал давят на рентабельность 




Россия входит в число мировых лидеров по цифровизации банковского сектора. Уровень проникновения IT в финансовую сферу здесь выше, чем в других странах. 
Многие финансовые организации предпочитают внутреннюю разработку, но зачастую это дорого, долго и не всегда эффективно. Диасофт предлагает рынку большое количество программных решений, которые могут быть интегрированы в собственную разработку финансовых учреждений. Также компания предлагает платформу для производства решений заказчиком. Такая форма сотрудничества называется «Производство как продукт». Она сокращает барьеры между заказчиком и разработчиком, становится более эффективной, потому что разработка приближена к бизнесу, а компетенции вендора используются с учетом конкретных задач и требований клиента.

Диасофт — ведущий российский разработчик корпоративного программного обеспечения для финансового сектора. Компания работает уже более 30 лет и предоставляет своим клиентам более 230 продуктов в сегменте корпоративного ПО. Диасофт — первая в России компания, включенная Gartner в список лучших мировых поставщиков цифровых банковских решений.

Основными преимуществами компании являются: 

архитектурные решения — покомпонентная поставка, возможность быстрой замены только тех решений, которые нужны бизнесу;
переход на новые стандарты IT-индустрии — применение современных технологий, которые помогают решать задачи импортозамещения;
широкое функциональное покрытие — максимальный охват областей автоматизации;
комплексное решение — компания предлагает полное закрытие потребностей заказчика через лицензии, внедрение, сопровождение и развитие.

Диасофт является прямым бенефициаром текущей стратегии государства, направленной на импортозамещение. При этом продукты компании стали активно использоваться еще до событий 2022 года, когда на рынке наблюдался довольно высокий уровень конкуренции со стороны иностранных игроков. Клиентами Диасофт являются более 150 организаций из различных отраслей экономики, среди которых превалируют организации финансового сектора: более половины банков из топ-100, ведущие инвестиционные, управляющие и страховые компании, НПФ и МФО.

У Диасофт на топ-10 клиентов приходится около 55% всей годовой выручки.



 
Еще одной особенностью компании является высокая доля возобновляемых продаж. По итогам финансового года, закончившегося в марте 2024 года, выручка от сопровождения ранее установленных программных продуктов, а также от услуг по их дальнейшему развитию составила 70%. Это свидетельствует о высокой лояльности клиентов и делает выручку компании более прогнозируемой. Однако без развития новых направлений выручка компании будет постепенно замедляться. 


Рынок ПО для финансового сектора, по прогнозам Strategy Partners, будет расти на 13,5% в год. В 2022 году он составлял 28 млрд рублей, а к 2028-му его объем может достигнуть 59,5 млрд рублей. 
Доля Диасофт на российском рынке ПО для финансового сектора составляла 24% по итогам 2022 года. При этом рынок фрагментирован, на долю четырех крупнейших игроков приходилось менее 50%. Складывающийся на финансовом рынке тренд на консолидацию и активный рост активов банков приводит к пропорциональному росту IT-бюджетов. Это беспрецедентная возможность для лидеров отрасли укрепить рыночную позицию за счет тесного сотрудничества с крупнейшими банками РФ.

В среднесрочной перспективе Диасофт планирует увеличить долю до 32%. 

Компания также планирует расширить свое присутствие в сегменте ПО для госсектора и ERP (система планирования ресурсов предприятия). В планах — увеличить долю рынка с текущих 0,3% до 5—6% от всего рынка за счет выстраивания цифровой экономики государством. Еще одним амбициозным направлением дальнейшего развития компании является усиление позиций на рынке системного ПО и средств производства программных продуктов.

Доля Диасфот здесь составляет около 1%, однако в планах компании значительно нарастить рыночную долю, до 12%, в среднесрочной перспективе.


Диасофт также развивает свое международное направление. Компания уже представлена на семи иностранных рынках, включая страны СНГ и азиатское направление. Однако выручка здесь пока незначительная. 

Что с финансами 
Выручка
Финансовый год Диасофт заканчивается в марте. Это сделано для сглаживания фактора сезонности, который обычно наблюдается в отчетности ПО вендоров. 
В продуктовой разбивке более 90% выручки приходится на сегмент корпоративного ПО для финансового сектора. Среднегодовой темп роста выручки за последние несколько лет составил 17%, а за последний финансовый год темпы роста ускорились благодаря стратегии импортозамещения и развития новых продуктов. 
Однако по итогам 1-го полугодия 2024 года компания показала замедление темпов роста выручки, что, по нашему мнению, может быть связано с ужесточающейся денежно-кредитной политикой и перераспределением средств потенциальных заказчиков. 
В целом, Диасофт рассчитывает, что целевой прогнозный уровень роста составит 30% в среднесрочной перспективе. В рамках дня инвестора компания объявила, что к 2026 году выручка может составить более 20 млрд рублей, при этом на новые направления,  корпоративное ПО для нефинансового сектора и средства производства ПО и инфраструктурного ПО, придется 22% общей выручки компании. 

Мы ожидаем, что по итогам 2024 года выручка компании составит 11,7 млрд рублей, что эквивалентно росту в 28%. В целом, мы прогнозируем среднегодовой темп выручки 2024-2028 год на уровне 26%, что немного ниже ожиданий компаний, так как мы полагаем что развитие новых сегментов может идти более медленными темпами из-за высокого уровня конкуренции в сегментах. 



Операционные расходы и капитальные затраты 
Более 70% расходов компании составляют затраты на персонал. Даже в условиях сложной конъюнктуры на рынке труда Диасофт продолжает наращивать штат. Своевременное увеличение штата сотрудников позволяет обеспечить дальнейший рост компании и поддержать разработку новых услуг. Общий штат сотрудников Диасофт увеличился с 1 634 человек на конец 2020 года до 1 782 человек на конец сентября 2024 года. Численность IT-специалистов составляет около 80% от общего количества сотрудников.
Более 80% затрат на исследования и разработки компания исторически капитализирует, то есть включает в стоимость актива. Основная часть капитальных затрат — это капитализируемые расходы на разработку ПО (более 90% затрат). Компания также активно наращивает вложения в развитие новых сегментов. По итогам 2024 года капитальные затраты компании составят, по нашим оценкам, порядка 12% от выручки.

На долгосрочном горизонте Диасофт планирует поддерживать уровень капитальных затрат от выручки в пределах 7—9%.



Рентабельность и прибыль
Совокупная историческая рентабельность компании по EBITDA за последние четыре года составила 38—43%. По популярному в IT-секторе показателю EBITDAC, то есть с учетом корректировки затрат на разработку ПО, рентабельность находилась на уровне 31—33%. 
По итогам первого полугодия 2024 финансового года рентабельность EBITDA составила 23,5% (-11.9 п.п. г/г). 
Компания ожидает, что по итогам 2024 года рентабельность по EBITDA составит 40-42,5%. При этом компания снизила ранее объявленный прогноз в 43-45%. К 2026 году Диасофт ожидает восстановление рентабельности до 45%. 

Мы прогнозируем, что в 2024 и 2025 году рентабельность по EBITDA составит 38% и 41% соответственно. Ключевое давление на прибыль окажет рост расходов на персонал. По EBITDAC рентабельность, по нашим оценкам составит 27% в 2024 году и 31% в 2025 году. Дальше мы ожидаем постепенного восстановления до 44% и 36% по EBITDA и EBITDAC соответственно.  

Чистая прибыль компании демонстрирует внушительный рост от года к году, а также высокую конверсию из EBITDA.

 

Долговая нагрузка
Компания не нуждается в долговом финансировании: на 30 сентября 2024-го у нее нет долговой нагрузки и исторически сильная денежная позиция. 
Свободный денежный поток и дивиденды 
По итогам 2023 года свободный денежный поток компании составил 1,7 млрд рублей, что эквивалентно доходности 4,3%. По итогам этого года мы ожидаем, что свободный денежный поток может вырасти до 3,3 млрд рублей ( доходность 9%), и по мере зрелости бизнеса мы ожидаем постепенного роста. 
Дивидендная политика компании предполагает ежеквартальную выплату дивидендов. В январе текущего года Диасофт утвердил новую дивидендную политику, согласно которой компания планирует в 2024—2025 годах ежеквартально направлять на выплату дивидендов почти всю получаемую прибыль — не менее 80% от EBITDA. По итогам первого квартала компания выплатила дивиденд в размере 45 рублей на обыкновенную акцию, что эквивалентно доходности 1%. Мы полагаем, что по итогам этого года компания может выплатить 315 рублей на акцию, что эквивалентно доходности 8,5%.  



Справедливая оценка 
Для определения справедливой стоимости акционерного капитала Диасофт мы использовали метод дисконтирования денежных потоков на горизонте ближайших десяти лет. Наша оценка базируется на средневзвешенной стоимости капитала (WACC) на уровне 24,4% и терминальном темпе роста 5%. 



Ну и что?
По нашей оценке, справедливая цена за бумагу на горизонте 12 месяцев составляет 4 190 рублей за акцию. Потенциал роста бумаг на горизонте года — 14%, поэтому мы сохраняем рекомендацию «держать».

В настоящий момент бумаги компании торгуются по мультипликаторам 13,3x EV/EBITDAС и 15,1x P/NIC (прогноз прибыли в 2025 году). 


Диасофт занимает лидирующую позицию в сегменте корпоративного ПО для финансового сектора, компания показывает устойчивый рост выручки.


Однако все больше и больше финансовых организаций предпочитают переходить на внутренние решения, так как зачастую оперируют конфиденциальной информацией. Доля новой выручки Диасофт постепенно снижается. Компания стремится поддержать темпы роста и расширить для себя целевой рынок, выйдя в смежные бизнес-сегменты, однако пока доля незначительная и уровень конкуренции серьезный. 


Диасофт показывает хорошую рентабельность.


Хотя в ближайшие два года мы ожидаем, что расходы на персонал будут оказывать давление на EBITDAC, в среднесрочной перспективе прогнозируем, что рентабельность стабилизируется на уровне 36%.


Компания показывает неплохую доходность свободного денежного потока и ежеквартально выплачивает дивиденды.

Наша целевая цена предусматривает апсайд на уровне всего 14%, поэтому мы начинаем аналитическое покрытие компании с рейтингом «держать».

Ценные бумаги и другие финансовые инструменты, упомянутые в данном обзоре, приведены исключительно в информационных целях; обзор не является инвестиционной идеей, советом, рекомендацией, предложением купить или продать ценные бумаги и другие финансовые инструменты. Уведомляем Вас о том, что при приобретении и владении иностранными ценными бумагами вы можете столкнуться с рисками депозитарной инфраструктуры, связанными с геополитической ситуацией.
Весь текст дисклеймера
3 615 ₽+7,87%22822Не является индивидуальной инвестиционной рекомендациейT-InvestmentsРассказываем об инвестициях простым языком 

Официальный канал сообщества — @Pulse_OfficialПодписатьсяЧитайте также9 декабря 2024Дефолты на рынке облигаций: насколько высоки риски и что выбрать инвестору6 декабря 2024Чем запомнилась неделя: восстановление рубля и отскок рынка акций22 комментарияВаш комментарий...BoBinvesting19 декабря 2024 в 12:11👌🏻Нравится2BoBinvesting19 декабря 2024 в 12:11👍🏻Нравится1LEprekON_7_7_719 декабря 2024 в 12:15Не интересно 🧙💨Нравится1slavonik19 декабря 2024 в 12:55👍Нравится1kartaviy_investor19 декабря 2024 в 13:01Как будто бы хорошая цена для входаНравитсяПоказать ещеАнализ компанийПодробные обзоры финансового потенциала компанийPetrGudyma+16,6%14,9K подписчиковVlad_pro_Dengi+40,7%14,3K подписчиковMistika911+11,4%23,5K подписчиковДефолты на рынке облигаций: насколько высоки риски и что выбрать инвесторуОбзор|9 декабря 2024 в 19:35Читать полностью"
